Loaded expectmax lib for 2048: /cluster/home/it_stu9/2048-api/game2048/expectimax/bin/2048.so
score: 2048	#113 	 loss:0.667 	 acc:0.690
score: 1024	#114 	 loss:0.666 	 acc:0.687
score: 2048	#115 	 loss:0.669 	 acc:0.686
score: 2048	#116 	 loss:0.667 	 acc:0.686
score: 2048	#117 	 loss:0.663 	 acc:0.685
score: 2048	#118 	 loss:0.667 	 acc:0.688
score: 2048	#119 	 loss:0.662 	 acc:0.693
score: 2048	#120 	 loss:0.668 	 acc:0.687
score: 1024	#121 	 loss:0.663 	 acc:0.689
score: 1024	#122 	 loss:0.668 	 acc:0.691
score: 2048	#123 	 loss:0.662 	 acc:0.688
score: 2048	#124 	 loss:0.668 	 acc:0.686
score: 2048	#125 	 loss:0.673 	 acc:0.684
score: 4096	#126 	 loss:0.663 	 acc:0.685
score: 512	#127 	 loss:0.662 	 acc:0.689
score: 1024	#128 	 loss:0.656 	 acc:0.696
score: 2048	#129 	 loss:0.673 	 acc:0.684
score: 1024	#130 	 loss:0.664 	 acc:0.690
score: 2048	#131 	 loss:0.667 	 acc:0.684
score: 512	#132 	 loss:0.662 	 acc:0.690
score: 2048	#133 	 loss:0.670 	 acc:0.683
score: 2048	#134 	 loss:0.663 	 acc:0.692
score: 2048	#135 	 loss:0.665 	 acc:0.691
score: 2048	#136 	 loss:0.668 	 acc:0.687
score: 1024	#137 	 loss:0.661 	 acc:0.691
score: 2048	#138 	 loss:0.661 	 acc:0.689
score: 1024	#139 	 loss:0.670 	 acc:0.689
score: 2048	#140 	 loss:0.672 	 acc:0.687
score: 2048	#141 	 loss:0.668 	 acc:0.687
score: 2048	#142 	 loss:0.662 	 acc:0.690
score: 2048	#143 	 loss:0.657 	 acc:0.694
score: 2048	#144 	 loss:0.666 	 acc:0.691
score: 512	#145 	 loss:0.662 	 acc:0.688
score: 2048	#146 	 loss:0.670 	 acc:0.687
score: 2048	#147 	 loss:0.659 	 acc:0.696
score: 1024	#148 	 loss:0.666 	 acc:0.687
score: 1024	#149 	 loss:0.668 	 acc:0.689
score: 2048	#150 	 loss:0.658 	 acc:0.696
score: 2048	#151 	 loss:0.673 	 acc:0.687
score: 4096	#152 	 loss:0.663 	 acc:0.690
score: 2048	#153 	 loss:0.662 	 acc:0.689
score: 2048	#154 	 loss:0.662 	 acc:0.689
score: 1024	#155 	 loss:0.656 	 acc:0.694
score: 512	#156 	 loss:0.666 	 acc:0.692
score: 2048	#157 	 loss:0.671 	 acc:0.686
score: 2048	#158 	 loss:0.663 	 acc:0.690
score: 1024	#159 	 loss:0.671 	 acc:0.688
score: 2048	#160 	 loss:0.671 	 acc:0.687
score: 1024	#161 	 loss:0.666 	 acc:0.689
score: 1024	#162 	 loss:0.670 	 acc:0.689
score: 1024	#163 	 loss:0.662 	 acc:0.692
score: 1024	#164 	 loss:0.657 	 acc:0.700
score: 2048	#165 	 loss:0.661 	 acc:0.695
score: 2048	#166 	 loss:0.658 	 acc:0.694
score: 1024	#167 	 loss:0.662 	 acc:0.695
score: 2048	#168 	 loss:0.661 	 acc:0.690
score: 2048	#169 	 loss:0.661 	 acc:0.690
score: 1024	#170 	 loss:0.668 	 acc:0.688
score: 1024	#171 	 loss:0.664 	 acc:0.689
score: 1024	#172 	 loss:0.664 	 acc:0.690
score: 2048	#173 	 loss:0.660 	 acc:0.690
score: 1024	#174 	 loss:0.659 	 acc:0.697
score: 2048	#175 	 loss:0.654 	 acc:0.697
score: 512	#176 	 loss:0.665 	 acc:0.688
score: 2048	#177 	 loss:0.664 	 acc:0.690
score: 2048	#178 	 loss:0.653 	 acc:0.695
score: 1024	#179 	 loss:0.656 	 acc:0.698
score: 1024	#180 	 loss:0.647 	 acc:0.699
score: 2048	#181 	 loss:0.662 	 acc:0.692
score: 2048	#182 	 loss:0.662 	 acc:0.689
score: 2048	#183 	 loss:0.654 	 acc:0.696
score: 512	#184 	 loss:0.670 	 acc:0.684
score: 2048	#185 	 loss:0.666 	 acc:0.693
score: 1024	#186 	 loss:0.662 	 acc:0.690
score: 2048	#187 	 loss:0.655 	 acc:0.695
score: 2048	#188 	 loss:0.658 	 acc:0.690
score: 2048	#189 	 loss:0.652 	 acc:0.695
score: 1024	#190 	 loss:0.657 	 acc:0.696
score: 2048	#191 	 loss:0.661 	 acc:0.692
score: 2048	#192 	 loss:0.652 	 acc:0.694
score: 1024	#193 	 loss:0.663 	 acc:0.689
score: 1024	#194 	 loss:0.670 	 acc:0.684
score: 256	#195 	 loss:0.662 	 acc:0.690
score: 4096	#196 	 loss:0.655 	 acc:0.696
score: 2048	#197 	 loss:0.669 	 acc:0.684
score: 1024	#198 	 loss:0.669 	 acc:0.689
score: 4096	#199 	 loss:0.668 	 acc:0.690
score: 1024	#200 	 loss:0.663 	 acc:0.691
score: 256	#201 	 loss:0.666 	 acc:0.688
score: 4096	#202 	 loss:0.660 	 acc:0.693
score: 2048	#203 	 loss:0.655 	 acc:0.697
score: 4096	#204 	 loss:0.660 	 acc:0.692
score: 4096	#205 	 loss:0.667 	 acc:0.683
score: 1024	#206 	 loss:0.673 	 acc:0.682
score: 1024	#207 	 loss:0.666 	 acc:0.687
score: 1024	#208 	 loss:0.662 	 acc:0.694
score: 2048	#209 	 loss:0.666 	 acc:0.688
score: 2048	#210 	 loss:0.664 	 acc:0.690
score: 4096	#211 	 loss:0.668 	 acc:0.689
score: 1024	#212 	 loss:0.661 	 acc:0.692
score: 2048	#213 	 loss:0.668 	 acc:0.691
score: 2048	#214 	 loss:0.656 	 acc:0.693
score: 2048	#215 	 loss:0.661 	 acc:0.692
score: 1024	#216 	 loss:0.659 	 acc:0.693
score: 2048	#217 	 loss:0.665 	 acc:0.688
score: 4096	#218 	 loss:0.659 	 acc:0.692
score: 1024	#219 	 loss:0.661 	 acc:0.693
score: 1024	#220 	 loss:0.672 	 acc:0.684
score: 512	#221 	 loss:0.657 	 acc:0.692
score: 2048	#222 	 loss:0.661 	 acc:0.694
score: 2048	#223 	 loss:0.671 	 acc:0.692
score: 1024	#224 	 loss:0.669 	 acc:0.687
score: 2048	#225 	 loss:0.654 	 acc:0.698
score: 2048	#226 	 loss:0.667 	 acc:0.689
score: 2048	#227 	 loss:0.662 	 acc:0.690
score: 256	#228 	 loss:0.665 	 acc:0.689
score: 512	#229 	 loss:0.662 	 acc:0.687
score: 2048	#230 	 loss:0.657 	 acc:0.692
score: 2048	#231 	 loss:0.652 	 acc:0.698
score: 2048	#232 	 loss:0.660 	 acc:0.696
score: 2048	#233 	 loss:0.658 	 acc:0.696
score: 1024	#234 	 loss:0.663 	 acc:0.694
score: 1024	#235 	 loss:0.666 	 acc:0.690
score: 512	#236 	 loss:0.663 	 acc:0.693
score: 2048	#237 	 loss:0.664 	 acc:0.689
score: 2048	#238 	 loss:0.662 	 acc:0.688
score: 4096	#239 	 loss:0.660 	 acc:0.690
score: 2048	#240 	 loss:0.658 	 acc:0.693
score: 2048	#241 	 loss:0.661 	 acc:0.690
score: 512	#242 	 loss:0.660 	 acc:0.692
score: 2048	#243 	 loss:0.658 	 acc:0.691
score: 1024	#244 	 loss:0.671 	 acc:0.687
score: 2048	#245 	 loss:0.660 	 acc:0.692
score: 512	#246 	 loss:0.673 	 acc:0.684
score: 4096	#247 	 loss:0.665 	 acc:0.690
score: 1024	#248 	 loss:0.660 	 acc:0.696
score: 2048	#249 	 loss:0.662 	 acc:0.692
score: 2048	#250 	 loss:0.675 	 acc:0.686
score: 512	#251 	 loss:0.655 	 acc:0.691
score: 2048	#252 	 loss:0.667 	 acc:0.692
score: 2048	#253 	 loss:0.677 	 acc:0.681
score: 2048	#254 	 loss:0.656 	 acc:0.693
score: 2048	#255 	 loss:0.665 	 acc:0.691
score: 1024	#256 	 loss:0.669 	 acc:0.689
score: 1024	#257 	 loss:0.667 	 acc:0.688
score: 2048	#258 	 loss:0.664 	 acc:0.688
score: 2048	#259 	 loss:0.661 	 acc:0.691
score: 1024	#260 	 loss:0.668 	 acc:0.691
score: 512	#261 	 loss:0.660 	 acc:0.697
score: 2048	#262 	 loss:0.675 	 acc:0.686
score: 2048	#263 	 loss:0.664 	 acc:0.686
score: 1024	#264 	 loss:0.664 	 acc:0.694
score: 256	#265 	 loss:0.665 	 acc:0.685
score: 4096	#266 	 loss:0.678 	 acc:0.681
score: 2048	#267 	 loss:0.669 	 acc:0.691
score: 1024	#268 	 loss:0.664 	 acc:0.692
score: 2048	#269 	 loss:0.661 	 acc:0.693
score: 512	#270 	 loss:0.673 	 acc:0.687
score: 4096	#271 	 loss:0.670 	 acc:0.681
score: 2048	#272 	 loss:0.673 	 acc:0.685
score: 4096	#273 	 loss:0.673 	 acc:0.680
score: 2048	#274 	 loss:0.669 	 acc:0.686
score: 2048	#275 	 loss:0.673 	 acc:0.686
score: 1024	#276 	 loss:0.670 	 acc:0.688
score: 2048	#277 	 loss:0.671 	 acc:0.685
score: 256	#278 	 loss:0.671 	 acc:0.687
score: 1024	#279 	 loss:0.669 	 acc:0.684
score: 2048	#280 	 loss:0.674 	 acc:0.686
score: 4096	#281 	 loss:0.676 	 acc:0.682
score: 2048	#282 	 loss:0.673 	 acc:0.683
score: 512	#283 	 loss:0.662 	 acc:0.690
score: 4096	#284 	 loss:0.675 	 acc:0.685
score: 2048	#285 	 loss:0.669 	 acc:0.686
score: 2048	#286 	 loss:0.672 	 acc:0.687
score: 2048	#287 	 loss:0.682 	 acc:0.678
score: 4096	#288 	 loss:0.683 	 acc:0.684
score: 1024	#289 	 loss:0.679 	 acc:0.678
score: 2048	#290 	 loss:0.671 	 acc:0.688
score: 2048	#291 	 loss:0.676 	 acc:0.685
score: 1024	#292 	 loss:0.671 	 acc:0.688
score: 2048	#293 	 loss:0.667 	 acc:0.687
score: 4096	#294 	 loss:0.671 	 acc:0.687
score: 4096	#295 	 loss:0.672 	 acc:0.685
score: 4096	#296 	 loss:0.675 	 acc:0.685
score: 2048	#297 	 loss:0.682 	 acc:0.678
score: 2048	#298 	 loss:0.684 	 acc:0.681
score: 2048	#299 	 loss:0.672 	 acc:0.685
score: 1024	#300 	 loss:0.678 	 acc:0.680
score: 512	#301 	 loss:0.680 	 acc:0.681
score: 512	#302 	 loss:0.677 	 acc:0.680
score: 2048	#303 	 loss:0.679 	 acc:0.683
score: 2048	#304 	 loss:0.677 	 acc:0.682
score: 2048	#305 	 loss:0.672 	 acc:0.688
score: 2048	#306 	 loss:0.671 	 acc:0.686
score: 2048	#307 	 loss:0.690 	 acc:0.679
score: 2048	#308 	 loss:0.673 	 acc:0.687
score: 2048	#309 	 loss:0.675 	 acc:0.685
score: 4096	#310 	 loss:0.671 	 acc:0.686
score: 1024	#311 	 loss:0.685 	 acc:0.680
score: 2048	#312 	 loss:0.666 	 acc:0.689
score: 2048	#313 	 loss:0.675 	 acc:0.682
score: 1024	#314 	 loss:0.673 	 acc:0.687
score: 4096	#315 	 loss:0.676 	 acc:0.684
score: 4096	#316 	 loss:0.671 	 acc:0.685
score: 256	#317 	 loss:0.672 	 acc:0.684
score: 2048	#318 	 loss:0.681 	 acc:0.679
score: 1024	#319 	 loss:0.675 	 acc:0.683
score: 2048	#320 	 loss:0.678 	 acc:0.686
score: 2048	#321 	 loss:0.670 	 acc:0.687
score: 1024	#322 	 loss:0.681 	 acc:0.681
score: 4096	#323 	 loss:0.677 	 acc:0.681
score: 1024	#324 	 loss:0.677 	 acc:0.685
score: 4096	#325 	 loss:0.665 	 acc:0.687
score: 1024	#326 	 loss:0.675 	 acc:0.686
score: 4096	#327 	 loss:0.681 	 acc:0.680
score: 4096	#328 	 loss:0.674 	 acc:0.682
score: 2048	#329 	 loss:0.681 	 acc:0.683
score: 2048	#330 	 loss:0.681 	 acc:0.681
score: 1024	#331 	 loss:0.668 	 acc:0.690
score: 4096	#332 	 loss:0.682 	 acc:0.679
score: 512	#333 	 loss:0.684 	 acc:0.679
score: 1024	#334 	 loss:0.681 	 acc:0.679
score: 512	#335 	 loss:0.682 	 acc:0.678
score: 2048	#336 	 loss:0.683 	 acc:0.680
score: 2048	#337 	 loss:0.674 	 acc:0.682
score: 1024	#338 	 loss:0.684 	 acc:0.680
score: 2048	#339 	 loss:0.681 	 acc:0.681
score: 4096	#340 	 loss:0.689 	 acc:0.673
score: 1024	#341 	 loss:0.679 	 acc:0.677
score: 2048	#342 	 loss:0.681 	 acc:0.681
score: 4096	#343 	 loss:0.682 	 acc:0.678
score: 1024	#344 	 loss:0.685 	 acc:0.678
score: 2048	#345 	 loss:0.685 	 acc:0.675
score: 4096	#346 	 loss:0.676 	 acc:0.682
score: 4096	#347 	 loss:0.675 	 acc:0.682
score: 1024	#348 	 loss:0.688 	 acc:0.673
score: 2048	#349 	 loss:0.673 	 acc:0.685
score: 4096	#350 	 loss:0.681 	 acc:0.679
score: 1024	#351 	 loss:0.673 	 acc:0.684
score: 2048	#352 	 loss:0.685 	 acc:0.681
